ORF,plate,date,row,col,distance
YOR202W,TS4-RT,12/02/11,6,24,18.7654
YOR202W,TS3-37,12/02/11,8,1,18.7628
YOR202W,11,12/10/11,15,24,18.7543
YOR202W,TS3-37,12/02/11,16,5,18.7539
YOR202W,9,12/09/11,10,1,18.7417
YOR202W,add4,4/26/12,1,24,18.7271
YOR202W,13,12/11/11,1,24,18.7221
YOR202W,6,11/30/11,10,1,18.7213
YOR202W,2,11/29/11,1,18,18.6932
YOR202W,TS4-37,12/02/11,8,1,18.6859
YOR202W,TS2-37,12/01/11,1,1,18.6772
YOR202W,add1,4/26/12,3,24,18.6649
YOR202W,add4,4/26/12,1,8,18.6506
YOR202W,4,11/29/11,7,1,18.6504
YOR202W,S2,12/11/11,14,1,18.6503
YOR202W,TS2-RT,12/01/11,1,16,18.6458
YOR202W,TS3-37,12/02/11,4,1,18.6361
YOR202W,S2,12/11/11,16,18,18.6282
YOR202W,1,11/29/11,16,3,18.6280
YOR202W,10,12/10/11,7,1,18.6162
YOR202W,5,11/30/11,5,1,18.5776
YOR202W,TS1-RT,12/01/11,2,1,18.5368
YOR202W,6,11/30/11,4,1,18.5094
YOR202W,2,11/29/11,8,1,18.5040
YOR202W,4,11/29/11,5,24,18.4973
YOR202W,12,12/09/11,1,20,18.4909
YOR202W,3,11/19/11,1,23,18.4723
YOR202W,TS4-37,12/02/11,16,8,18.4630
YOR202W,TS4-RT,12/02/11,2,1,18.4627
YOR202W,add4,4/26/12,1,7,18.4568
YOR202W,4,11/29/11,1,6,18.4522
YOR202W,S2,12/11/11,16,14,18.4279
YOR202W,TS4-37,12/02/11,2,1,18.4231
YOR202W,7,11/30/11,16,24,18.3988
YOR202W,S1,11/19/11,4,1,18.3854
YOR202W,add1,4/26/12,12,1,18.3762
YOR202W,TS3-37,12/02/11,1,3,18.3630
YOR202W,S1,11/19/11,11,2,18.3576
YOR202W,rmkDM,06/19/12,16,10,18.3548
YOR202W,2,11/29/11,1,13,18.3119
YOR202W,S2,12/11/11,2,1,18.3061
YOR202W,TS2-RT,12/01/11,9,24,18.3053
YOR202W,6,11/30/11,1,19,18.3047
YOR202W,rmkDM,06/18/12,1,16,18.3023
YOR202W,add4,4/26/12,16,2,18.2971
YOR202W,7,11/30/11,2,24,18.2916
YOR202W,TS3-RT,12/02/11,1,1,18.2774
YOR202W,11,12/10/11,11,1,18.2691
