ORF,distance,meta
YDR062W,26.401399555,(TS1-RT, 12/01/11, 15, 16)
YPR086W,26.3790831789,(TS2-RT, 12/01/11, 13, 2)
YKL145W,26.3728022746,(TS4-37, 12/02/11, 7, 20)
YOR046C,26.3355843046,(TS4-37, 12/02/11, 10, 5)
YPL120W,26.334133023,(TS4-RT, 12/02/11, 2, 15)
YOR308C,26.311457861,(rmkDM, 06/19/12, 6, 17, 12.749771093353861),(13, 12/11/11, 15, 8, 39.873144628741805)
YJR020W,26.2796944987,(7, 11/30/11, 6, 17)
YNL199C,26.1176160386,(rmkDM, 06/19/12, 14, 5, 22.071468825403272),(11, 12/10/11, 8, 6, 30.163763251782907)
YDR378C,26.0669104807,(3, 11/19/11, 10, 19, 26.066910480732108)
YKL196C,26.0568318294,(TS3-37, 12/02/11, 12, 19)
YDR207C,26.0557375091,(add4, 4/26/12, 7, 14, 24.420711355962627),(rmkDM, 06/19/12, 6, 13, 24.649961937029101),(rmkDM, 06/19/12, 12, 10, 19.10888085895656),(3, 11/19/11, 4, 14, 36.043395884283171)
YHR132W-A,26.0449841377,(6, 11/30/11, 10, 2)
YDL013W,26.0192141928,(2, 11/29/11, 8, 8)
YKL173W,25.9863745728,(TS1-37, 12/01/11, 10, 8)
YOL052C,25.9764057656,(12, 12/09/11, 3, 11)
YIL048W,25.9389650189,(TS1-RT, 12/01/11, 5, 4)
YGL137W,25.9135334199,(TS3-37, 12/02/11, 12, 9)
YLR215C,25.9014522845,(TS4-RT, 12/02/11, 10, 4)
YOR080W,25.8384859658,(rmkDM, 06/18/12, 13, 16, 20.332179689080505),(12, 12/09/11, 14, 10, 31.344792242533511)
YLR116W,25.8294806956,(TS4-RT, 12/02/11, 4, 6)
YGL091C,25.8156588873,(TS3-RT, 12/02/11, 6, 6)
YMR049C,25.8119105243,(TS2-37, 12/01/11, 11, 18)
YDL058W,25.7909783947,(TS4-37, 12/02/11, 2, 19)
YGL066W,25.7878510932,(5, 11/30/11, 3, 19, 25.787851093189779)
YLR357W,25.7821210392,(add1, 4/26/12, 13, 15)
YCR008W,25.7800684699,(2, 11/29/11, 9, 9)
YKL113C,25.7789125513,(8, 11/30/11, 9, 13, 25.778912551344604)
YDR484W,25.7120407559,(S2, 12/11/11, 7, 7)
YGL075C,25.7004290638,(TS1-37, 12/01/11, 15, 23)
YGL145W,25.6624027359,(TS2-37, 12/01/11, 4, 7)
YMR055C,25.6454969147,(10, 12/10/11, 4, 12)
YDR159W,25.6318571223,(add1, 4/26/12, 2, 23, 23.147368337319637),(3, 11/19/11, 15, 23, 28.116345907353502)
YCR028C,25.5535260922,(S1, 11/19/11, 6, 10, 25.578588951659565),(S1, 11/19/11, 10, 14, 25.528463232801112)
YMR058W,25.5224060656,(rmkDM, 06/19/12, 4, 6, 17.658313742325618),(10, 12/10/11, 4, 6, 33.386498388884121)
YDR182W,25.5185554862,(TS4-RT, 12/02/11, 9, 23)
YGR180C,25.4401022519,(S2, 12/11/11, 2, 13)
YKR020W,25.4253934561,(TS4-RT, 12/02/11, 5, 15)
YHR134W,25.3793071922,(6, 11/30/11, 12, 20)
YHL031C,25.3387547943,(rmkDM, 06/18/12, 13, 23, 18.306416284269002),(6, 11/30/11, 7, 3, 32.37109330428671)
YPL120W,25.3260843997,(rmkDM, 06/19/12, 14, 22, 20.181048238014927),(13, 12/11/11, 10, 4, 30.471120561445471)
YOR183W,25.3076274291,(add1, 4/26/12, 6, 17)
YLR235C,25.3002527581,(9, 12/09/11, 6, 22)
YEL043W,25.295796271,(4, 11/29/11, 7, 9)
YOR184W,25.2947054989,(TS1-37, 12/01/11, 9, 21)
YOL018C,25.2768880387,(TS1-37, 12/01/11, 3, 20)
YNL287W,25.2765525938,(TS3-37, 12/02/11, 8, 9)
YBL074C,25.2540609068,(TS2-RT, 12/01/11, 14, 2)
YLR056W,25.241910534,(TS1-RT, 12/01/11, 6, 18)
YJL200C,25.2343738253,(S1, 11/19/11, 6, 7)
YPR119W,25.2238262063,(14, 12/11/11, 3, 5)
YOR046C,25.1863862544,(TS4-RT, 12/02/11, 10, 5)
YGL079W,25.179945357,(5, 11/30/11, 3, 11)
YOR181W,25.1381355743,(TS3-37, 12/02/11, 4, 11)
YIL090W,25.1252330211,(add4, 4/26/12, 15, 12, 26.198562872444853),(7, 11/30/11, 5, 8, 24.051903169839239)
YPR057W,25.1217246806,(add4, 4/26/12, 14, 4)
YPL028W,25.0751155693,(TS3-RT, 12/02/11, 4, 18)
YDR276C,25.0662769924,(rmkDM, 06/19/12, 10, 22, 16.92987539904432),(3, 11/19/11, 12, 8, 33.202678585761269)
YJR102C,25.0083436897,(S2, 12/11/11, 3, 6)
YIL040W,24.9546095589,(add4, 4/26/12, 2, 2, 33.453821840911587),(6, 11/30/11, 12, 13, 16.455397276955665)
YGR161C,24.9211501348,(5, 11/30/11, 14, 3)
YCR071C,24.907073373,(2, 11/29/11, 2, 10)
YLR298C,24.8925958627,(TS3-37, 12/02/11, 3, 11)
