Cluster 0: size = 123 (WT = 123)
Cluster 1: size = 110 (WT = 110)
Cluster 2: size = 161 (WT = 161)
Cluster 3: size = 111 (WT = 111)
Cluster 4: size = 87 (WT = 87)
ORF,plate,date,row,col,cluster
YOR202W,TS3-RT,12/02/11,1,1,0
YOR202W,TS3-RT,12/02/11,1,2,0
YOR202W,TS3-RT,12/02/11,1,3,0
YOR202W,TS3-RT,12/02/11,1,4,0
YOR202W,TS3-RT,12/02/11,1,5,0
YOR202W,TS3-RT,12/02/11,1,6,2
YOR202W,TS3-RT,12/02/11,1,7,0
YOR202W,TS3-RT,12/02/11,1,8,0
YOR202W,TS3-RT,12/02/11,1,9,2
YOR202W,TS3-RT,12/02/11,1,10,2
YOR202W,TS3-RT,12/02/11,1,11,0
YOR202W,TS3-RT,12/02/11,1,12,0
YOR202W,TS3-RT,12/02/11,1,13,2
YOR202W,TS3-RT,12/02/11,1,14,2
YOR202W,TS3-RT,12/02/11,1,15,2
YOR202W,TS3-RT,12/02/11,1,16,2
YOR202W,TS3-RT,12/02/11,1,17,2
YOR202W,TS3-RT,12/02/11,1,18,2
YOR202W,TS3-RT,12/02/11,1,19,0
YOR202W,TS3-RT,12/02/11,1,20,4
YOR202W,TS3-RT,12/02/11,1,21,2
YOR202W,TS3-RT,12/02/11,1,22,2
YOR202W,TS3-RT,12/02/11,1,23,2
YOR202W,TS3-RT,12/02/11,1,24,2
YOR202W,TS3-RT,12/02/11,2,1,0
YOR202W,TS3-RT,12/02/11,2,24,2
YOR202W,TS3-RT,12/02/11,3,1,0
YOR202W,TS3-RT,12/02/11,3,24,2
YOR202W,TS3-RT,12/02/11,4,1,0
YOR202W,TS3-RT,12/02/11,4,24,2
YOR202W,TS3-RT,12/02/11,5,1,0
YOR202W,TS3-RT,12/02/11,5,24,2
YOR202W,TS3-RT,12/02/11,6,1,2
YOR202W,TS3-RT,12/02/11,6,24,4
YOR202W,TS3-RT,12/02/11,7,1,0
YOR202W,TS3-RT,12/02/11,7,24,2
YOR202W,TS3-RT,12/02/11,8,1,0
YOR202W,TS3-RT,12/02/11,8,24,2
YOR202W,TS3-RT,12/02/11,9,1,0
YOR202W,TS3-RT,12/02/11,9,24,2
YOR202W,TS3-RT,12/02/11,10,1,2
YOR202W,TS3-RT,12/02/11,10,24,2
YOR202W,TS3-RT,12/02/11,11,1,0
YOR202W,TS3-RT,12/02/11,11,24,2
YOR202W,TS3-RT,12/02/11,12,1,2
YOR202W,TS3-RT,12/02/11,12,24,2
YOR202W,TS3-RT,12/02/11,13,1,0
YOR202W,TS3-RT,12/02/11,13,24,2
YOR202W,TS3-RT,12/02/11,14,1,0
YOR202W,TS3-RT,12/02/11,14,24,2
YOR202W,TS3-RT,12/02/11,15,1,0
YOR202W,TS3-RT,12/02/11,15,24,2
YOR202W,TS3-RT,12/02/11,16,1,0
YOR202W,TS3-RT,12/02/11,16,2,0
YOR202W,TS3-RT,12/02/11,16,3,0
YOR202W,TS3-RT,12/02/11,16,4,0
YOR202W,TS3-RT,12/02/11,16,5,0
YOR202W,TS3-RT,12/02/11,16,6,0
YOR202W,TS3-RT,12/02/11,16,7,0
YOR202W,TS3-RT,12/02/11,16,8,0
YOR202W,TS3-RT,12/02/11,16,9,0
YOR202W,TS3-RT,12/02/11,16,10,2
YOR202W,TS3-RT,12/02/11,16,11,0
YOR202W,TS3-RT,12/02/11,16,12,0
YOR202W,TS3-RT,12/02/11,16,13,0
YOR202W,TS3-RT,12/02/11,16,14,2
