ORF,plate,date,row,col,class,proba
YKR026C,add1,4/26/12,14,14,1,0.07125,0.92875
YER162C,add1,4/26/12,14,15,0,0.99996,0.00004
YOR030W,add1,4/26/12,14,16,0,1.00000,0.00000
YBR024W,add1,4/26/12,14,17,0,1.00000,0.00000
YHR146W,add1,4/26/12,14,18,0,1.00000,0.00000
YIL133C,add1,4/26/12,14,19,0,1.00000,0.00000
YDL131W,add1,4/26/12,14,20,0,1.00000,0.00000
YBL107C,add1,4/26/12,14,21,0,1.00000,0.00000
YOR213C,add1,4/26/12,14,22,0,1.00000,0.00000
YPR012W,add1,4/26/12,14,23,0,1.00000,0.00000
YHR184W,add1,4/26/12,15,2,0,1.00000,0.00000
YDR508C,add1,4/26/12,15,3,0,1.00000,0.00000
YOR061W,add1,4/26/12,15,4,0,1.00000,0.00000
YBR213W,add1,4/26/12,15,5,0,1.00000,0.00000
YHL026C,add1,4/26/12,15,6,0,1.00000,0.00000
YOR240W,add1,4/26/12,15,7,0,1.00000,0.00000
YNL111C,add1,4/26/12,15,8,0,1.00000,0.00000
YIR016W,add1,4/26/12,15,9,1,0.00000,1.00000
YDR163W,add1,4/26/12,15,10,1,0.00000,1.00000
YOR283W,add1,4/26/12,15,11,0,1.00000,0.00000
YPL261C,add1,4/26/12,15,12,1,0.00000,1.00000
YER030W,add1,4/26/12,15,13,0,1.00000,0.00000
YGR111W,add1,4/26/12,15,14,0,1.00000,0.00000
YIL017C,add1,4/26/12,15,15,0,1.00000,0.00000
YOR285W,add1,4/26/12,15,16,1,0.00000,1.00000
YOR348C,add1,4/26/12,15,17,0,1.00000,0.00000
YOL007C,add1,4/26/12,15,19,0,1.00000,0.00000
YDR215C,add1,4/26/12,15,20,0,1.00000,0.00000
YOR264W,add1,4/26/12,15,21,0,1.00000,0.00000
YPL212C,add1,4/26/12,15,22,0,1.00000,0.00000
YJL079C,add1,4/26/12,15,23,0,1.00000,0.00000
YIL040W,add4,4/26/12,2,2,1,0.00000,1.00000
YPL130W,add4,4/26/12,2,3,0,1.00000,0.00000
YOR055W,add4,4/26/12,2,4,0,1.00000,0.00000
YLL001W,add4,4/26/12,2,5,0,1.00000,0.00000
YBR200W,add4,4/26/12,2,6,0,1.00000,0.00000
YOR229W,add4,4/26/12,2,8,0,1.00000,0.00000
YGR133W,add4,4/26/12,2,9,0,1.00000,0.00000
YFL027C,add4,4/26/12,2,10,0,1.00000,0.00000
